case,Activity,startTime,completeTime,org:resource,fixedCost
192,register,2022/6/16 17:07:06,2022/6/16 17:12:59,Lee,40
192,face collection,2022/6/16 17:12:59,2022/6/16 17:19:17,Zheng,70
192,fingerprint collection,2022/6/16 17:12:59,2022/6/16 17:16:38,Qi,70
192,decide,2022/6/16 17:25:05,2022/6/16 17:31:21,Sun,30
192,verify,2022/6/16 17:31:21,2022/6/16 17:36:32,Gao,40
192,pay the fees,2022/6/16 17:36:32,2022/6/16 17:39:45,Zhao,20
190,register,2022/6/16 0:41:55,2022/6/16 0:47:08,Wang,40
190,face collection,2022/6/16 0:47:08,2022/6/16 0:53:05,Qi,70
190,fingerprint collection,2022/6/16 0:47:08,2022/6/16 0:52:03,Wu,70
190,decide,2022/6/16 0:53:05,2022/6/16 17:01:20,Sun,30
190,retest information,2022/6/16 17:01:20,2022/6/16 17:07:34,Wang,60
190,fingerprint collection,2022/6/16 17:07:34,2022/6/16 17:11:41,Qi,70
190,face collection,2022/6/16 17:07:34,2022/6/16 17:12:52,Wu,70
190,decide,2022/6/16 17:15:54,2022/6/16 17:25:05,Sun,30
190,pay the fees,2022/6/16 17:29:27,2022/6/16 17:34:11,Liu,20
194,register,2022/6/16 17:31:47,2022/6/16 17:41:08,Lee,40
194,face collection,2022/6/16 17:41:08,2022/6/16 17:47:46,Zheng,70
194,fingerprint collection,2022/6/16 17:41:08,2022/6/16 17:45:02,Qi,70
194,decide,2022/6/16 17:47:46,2022/6/16 17:56:33,Sun,30
194,verify,2022/6/16 17:56:33,2022/6/16 18:00:39,Liu,40
194,pay the fees,2022/6/16 18:00:39,2022/6/16 18:04:20,Gao,20
198,face collection,2022/6/16 18:23:33,2022/6/16 18:29:58,Qi,70
198,fingerprint collection,2022/6/16 18:23:33,2022/6/16 18:28:24,Wu,70
198,decide,2022/6/16 18:29:58,2022/6/16 18:35:00,Sun,30
198,verify,2022/6/16 18:35:00,2022/6/16 18:39:25,Zhao,40
198,pay the fees,2022/6/16 18:39:25,2022/6/16 18:42:50,Liu,20
196,register,2022/6/16 17:57:27,2022/6/16 18:07:03,Wang,40
196,face collection,2022/6/16 18:07:03,2022/6/16 18:13:23,Qi,70
196,fingerprint collection,2022/6/16 18:07:03,2022/6/16 18:10:16,Wu,70
196,fingerprint collection,2022/6/16 18:11:03,2022/6/16 18:13:16,Wu,70
196,decide,2022/6/16 18:14:24,2022/6/16 18:20:15,Sun,30
196,verify,2022/6/16 18:20:15,2022/6/16 18:25:39,Liu,40
196,pay the fees,2022/6/16 18:25:39,2022/6/16 18:28:55,Gao,20
299,face collection,2022/6/20 23:32:25,2022/6/20 23:37:37,Wu,70
299,fingerprint collection,2022/6/20 23:32:25,2022/6/20 23:36:05,Qi,70
299,decide,2022/6/20 23:43:34,2022/6/20 23:52:26,Sun,30
299,retest information,2022/6/20 23:52:26,2022/6/20 23:58:47,Lee,60
299,fingerprint collection,2022/6/20 23:58:47,2022/6/21 0:02:32,Zheng,70
299,face collection,2022/6/20 23:58:47,2022/6/21 0:05:31,Wu,70
299,decide,2022/6/21 0:05:41,2022/6/21 0:12:39,Sun,30
299,verify,2022/6/21 0:12:39,2022/6/21 0:17:20,Gao,40
299,pay the fees,2022/6/21 0:17:20,2022/6/21 0:20:20,Liu,20
298,register,2022/6/20 23:12:49,2022/6/20 23:20:13,Lee,40
298,face collection,2022/6/20 23:20:13,2022/6/20 23:26:01,Wu,70
298,fingerprint collection,2022/6/20 23:20:13,2022/6/20 23:23:32,Zheng,70
298,decide,2022/6/20 23:30:29,2022/6/20 23:36:58,Sun,30
298,pay the fees,2022/6/20 23:42:18,2022/6/20 23:45:37,Liu,20
