case,Activity,startTime,completeTime,org:resource,fixedCost
192,publish courses,2022/7/5 19:59:20,2022/7/5 20:07:23,Timea,40
192,select courses,2022/7/11 18:18:29,2022/7/11 18:43:17,Ailill,30
192,take classes,2022/7/13 0:52:47,2022/7/13 17:32:03,Zuri,60
192,examine,2022/8/16 17:51:12,2022/8/16 19:21:16,Wash,90
192,pass,2022/8/16 19:21:16,2022/8/16 20:43:02,Lafeu,80
190,publish courses,2022/7/5 19:33:05,2022/7/5 19:40:59,Timea,40
190,select courses,2022/7/11 17:35:18,2022/7/11 17:55:49,Ailill,30
190,take classes,2022/7/12 23:48:16,2022/7/13 0:19:08,Zuri,60
190,examine,2022/8/15 23:33:04,2022/8/16 0:49:57,Wash,90
190,pass,2022/8/16 0:49:57,2022/8/16 17:56:42,Lafeu,80
194,publish courses,2022/7/5 20:29:06,2022/7/5 20:36:13,Timea,40
194,select courses,2022/7/11 19:07:16,2022/7/11 19:28:37,Ailill,30
194,take classes,2022/7/13 17:55:30,2022/7/13 18:17:27,Zuri,60
194,examine,2022/8/16 20:50:15,2022/8/16 21:56:12,Wash,90
194,pass,2022/8/16 21:56:12,2022/8/16 23:21:00,Lafeu,80
198,publish courses,2022/7/5 21:36:32,2022/7/5 21:46:10,Timea,40
198,select courses,2022/7/11 20:48:39,2022/7/11 21:17:23,Ailill,30
198,take classes,2022/7/13 19:45:10,2022/7/13 20:22:08,Zuri,60
198,examine,2022/8/17 17:45:48,2022/8/17 19:42:21,Wash,90
198,retake the course,2022/8/17 19:42:21,2022/8/17 20:05:22,Keysha,100
196,publish courses,2022/7/5 20:56:34,2022/7/5 21:05:09,Timea,40
196,select courses,2022/7/11 19:58:17,2022/7/11 20:26:15,Ailill,30
196,take classes,2022/7/13 18:39:54,2022/7/13 19:16:28,Zuri,60
196,examine,2022/8/16 23:30:37,2022/8/17 0:38:12,Wash,90
196,pass,2022/8/17 0:50:54,2022/8/17 17:56:42,Lafeu,80
299,publish courses,2022/7/9 0:46:39,2022/7/9 0:55:10,Timea,40
299,select courses,2022/7/18 22:59:53,2022/7/18 23:24:38,Ailill,30
299,take classes,2022/7/21 21:27:17,2022/7/21 21:48:16,Zuri,60
299,examine,2022/9/13 17:37:33,2022/9/13 18:49:20,Wash,90
299,pass,2022/9/13 18:49:20,2022/9/13 20:18:07,Lafeu,80
298,publish courses,2022/7/9 0:24:38,2022/7/9 0:34:15,Timea,40
298,select courses,2022/7/18 22:31:07,2022/7/18 22:59:53,Ailill,30
298,select courses,2022/7/18 23:31:07,2022/7/18 23:59:53,Ailill,30
298,take classes,2022/7/21 20:52:34,2022/7/21 21:27:17,Zuri,60
298,examine,2022/9/12 23:40:39,2022/9/13 17:37:33,Wash,90
298,retake the course,2022/9/13 17:37:33,2022/9/13 17:58:09,Keysha,100
181,publish courses,2022/7/5 17:10:02,2022/7/5 17:18:08,Timea,40
181,select courses,2022/7/8 21:51:14,2022/7/8 22:20:44,Ailill,30
181,take classes,2022/7/12 18:59:56,2022/7/12 19:32:40,Zuri,60
181,examine,2022/8/12 18:09:30,2022/8/12 19:12:26,Wash,90
181,pass,2022/8/12 19:12:26,2022/8/12 20:15:26,Lafeu,80
26,publish courses,2022/6/28 0:17:30,2022/6/28 0:27:16,Timea,40
26,select courses,2022/6/28 20:34:58,2022/6/28 20:59:02,Ailill,30
26,take classes,2022/6/28 22:22:01,2022/6/28 22:50:10,Zuri,60
26,examine,2022/7/2 0:56:26,2022/7/4 18:34:27,Wash,90
26,pass,2022/7/4 18:34:27,2022/7/4 20:03:33,Lafeu,80
180,publish courses,2022/7/5 0:47:53,2022/7/5 0:56:19,Timea,40
180,select courses,2022/7/8 21:29:33,2022/7/8 21:51:14,Ailill,30
180,select courses,2022/7/8 22:29:33,2022/7/8 22:51:14,Ailill,30
180,take classes,2022/7/12 18:24:50,2022/7/12 18:59:56,Zuri,60
180,examine,2022/8/12 0:53:31,2022/8/12 18:09:30,Wash,90
180,retake the course,2022/8/12 18:09:30,2022/8/12 18:30:17,Keysha,100
184,publish courses,2022/7/5 18:00:49,2022/7/5 18:08:26,Timea,40
184,select courses,2022/7/8 23:01:42,2022/7/8 23:24:27,Ailill,30
184,take classes,2022/7/12 20:29:13,2022/7/12 20:56:06,Zuri,60
184,examine,2022/8/12 22:30:48,2022/8/12 23:45:03,Wash,90
184,pass,2022/8/13 0:00:39,2022/8/15 17:19:13,Lafeu,80
27,publish courses,2022/6/28 0:38:39,2022/6/28 0:48:00,Timea,40
27,select courses,2022/6/28 20:59:02,2022/6/28 21:28:00,Ailill,30
27,take classes,2022/6/28 22:50:10,2022/6/28 23:18:17,Zuri,60
27,examine,2022/7/4 18:34:27,2022/7/4 19:48:58,Wash,90
27,pass,2022/7/4 20:03:33,2022/7/4 21:10:56,Lafeu,80
30,publish courses,2022/6/28 17:16:13,2022/6/28 17:25:02,Timea,40
30,select courses,2022/6/28 22:22:57,2022/6/28 22:45:00,Ailill,30
30,select courses,2022/6/28 23:22:57,2022/6/28 23:45:00,Ailill,30
30,take classes,2022/6/29 0:12:48,2022/6/29 0:39:48,Zuri,60
30,examine,2022/7/4 22:57:20,2022/7/5 0:46:39,Wash,90
30,pass,2022/7/5 0:46:39,2022/7/5 17:56:40,Lafeu,80
288,publish courses,2022/7/8 21:42:21,2022/7/8 21:51:29,Timea,40
288,select courses,2022/7/18 18:31:46,2022/7/18 18:53:07,Ailill,30
288,select courses,2022/7/18 19:31:46,2022/7/18 19:53:07,Ailill,30
288,take classes,2022/7/20 23:46:02,2022/7/21 0:22:07,Zuri,60
288,examine,2022/9/9 17:42:06,2022/9/9 18:49:30,Wash,90
288,retake the course,2022/9/9 18:49:30,2022/9/9 19:09:40,Keysha,100
37,publish courses,2022/6/28 19:09:52,2022/6/28 19:17:40,Timea,40
37,select courses,2022/6/29 17:24:12,2022/6/29 17:44:54,Ailill,30
37,take classes,2022/6/29 19:35:05,2022/6/29 20:11:38,Zuri,60
37,examine,2022/7/6 17:17:45,2022/7/6 18:23:37,Wash,90
37,pass,2022/7/6 18:25:36,2022/7/6 19:41:18,Lafeu,80
38,publish courses,2022/6/28 19:29:25,2022/6/28 19:38:32,Timea,40
38,select courses,2022/6/29 17:44:54,2022/6/29 18:06:10,Ailill,30
38,select courses,2022/6/29 18:44:54,2022/6/29 19:06:10,Ailill,30
38,take classes,2022/6/29 20:11:38,2022/6/29 20:48:24,Zuri,60
38,examine,2022/7/6 18:23:37,2022/7/6 19:25:46,Wash,90
38,pass,2022/7/6 19:41:18,2022/7/6 20:44:05,Lafeu,80
16,publish courses,2022/6/27 21:37:42,2022/6/27 21:46:26,Timea,40
16,select courses,2022/6/28 0:08:49,2022/6/28 0:36:53,Ailill,30
16,take classes,2022/6/28 17:37:18,2022/6/28 18:05:39,Zuri,60
16,examine,2022/6/30 17:10:10,2022/6/30 18:48:01,Wash,90
16,pass,2022/6/30 18:48:01,2022/6/30 20:15:05,Lafeu,80
289,publish courses,2022/7/8 21:51:29,2022/7/8 22:00:16,Timea,40
289,select courses,2022/7/18 18:53:07,2022/7/18 19:14:28,Ailill,30
289,take classes,2022/7/21 0:22:07,2022/7/21 0:48:53,Zuri,60
289,examine,2022/9/9 18:49:30,2022/9/9 20:04:45,Wash,90
289,pass,2022/9/9 20:04:45,2022/9/9 21:30:32,Lafeu,80
17,publish courses,2022/6/27 21:46:26,2022/6/27 21:54:12,Timea,40
17,select courses,2022/6/28 0:36:53,2022/6/28 17:05:28,Ailill,30
