case,Activity,startTime,completeTime,org:resource,fixedCost
192,Submit a paper,2022/11/15 17:08:50,2022/11/15 17:14:36,Sam,70
192,A Expert Review,2022/11/15 17:14:36,2022/11/15 17:22:24,Jack,50
192,B Expert Review,2022/11/15 17:14:36,2022/11/15 17:22:58,Amy,60
192,decide,2022/11/15 17:22:58,2022/11/15 17:26:27,Bob,70
190,Submit a paper,2022/11/15 0:42:17,2022/11/15 0:48:07,Sam,70
190,A Expert Review,2022/11/15 0:48:07,2022/11/15 0:55:14,Jack,50
190,B Expert Review,2022/11/15 0:48:07,2022/11/15 0:55:53,Amy,60
190,decide,2022/11/15 0:55:53,2022/11/15 0:58:57,Bob,70
190,modify,2022/11/21 23:21:53,2022/11/22 18:26:29,Allen,60
190,Submit a paper,2022/11/22 18:26:29,2022/11/22 18:33:44,Sam,70
190,A Expert Review,2022/11/22 18:33:44,2022/11/22 18:41:52,Jack,50
190,B Expert Review,2022/11/22 18:33:44,2022/11/22 18:38:44,Amy,60
190,B Expert Review,2022/11/22 18:38:44,2022/11/22 18:41:44,Amy,60
190,decide,2022/11/22 18:41:52,2022/11/22 18:47:31,Bob,70
194,Submit a paper,2022/11/15 17:35:46,2022/11/15 17:41:21,Sam,70
194,A Expert Review,2022/11/15 17:41:21,2022/11/15 17:48:23,Jack,50
194,B Expert Review,2022/11/15 17:41:21,2022/11/15 17:50:34,Amy,60
194,decide,2022/11/15 17:50:34,2022/11/15 17:55:41,Bob,70
194,modify,2022/11/22 18:26:29,2022/11/22 21:27:29,Allen,60
194,Submit a paper,2022/11/22 21:32:02,2022/11/22 21:39:38,Sam,70
194,A Expert Review,2022/11/22 21:39:38,2022/11/22 21:40:05,Jack,50
194,A Expert Review,2022/11/22 21:40:05,2022/11/22 21:41:05,Jack,50
194,B Expert Review,2022/11/22 21:41:55,2022/11/22 21:50:38,Amy,60
194,decide,2022/11/22 21:50:38,2022/11/22 21:56:32,Bob,70
198,Submit a paper,2022/11/15 18:29:32,2022/11/15 18:34:34,Sam,70
198,A Expert Review,2022/11/15 18:34:34,2022/11/15 18:41:42,Jack,50
198,B Expert Review,2022/11/15 18:34:34,2022/11/15 18:41:42,Amy,60
198,decide,2022/11/15 18:41:42,2022/11/15 18:46:51,Bob,70
196,Submit a paper,2022/11/15 18:02:01,2022/11/15 18:08:32,Sam,70
196,A Expert Review,2022/11/15 18:08:32,2022/11/15 18:14:01,Jack,50
196,B Expert Review,2022/11/15 18:08:32,2022/11/15 18:15:49,Amy,60
196,decide,2022/11/15 18:15:49,2022/11/15 18:20:24,Bob,70
196,pass,2022/11/15 18:20:24,2022/11/15 18:23:48,Dino,70
299,Submit a paper,2022/11/17 23:20:14,2022/11/17 23:26:15,Sam,70
299,A Expert Review,2022/11/17 23:26:15,2022/11/17 23:35:37,Jack,50
299,B Expert Review,2022/11/17 23:26:15,2022/11/17 23:32:40,Amy,60
299,B Expert Review,2022/11/17 23:32:40,2022/11/17 23:34:40,Amy,60
299,decide,2022/11/17 23:35:37,2022/11/17 23:39:20,Bob,70
299,modify,2022/11/28 18:40:40,2022/11/28 22:40:58,Allen,60
299,Submit a paper,2022/11/28 22:46:24,2022/11/28 22:53:04,Sam,70
299,A Expert Review,2022/11/28 22:53:04,2022/11/28 22:58:50,Jack,50
299,B Expert Review,2022/11/28 22:55:32,2022/11/28 23:01:01,Amy,60
299,decide,2022/11/28 23:01:01,2022/11/28 23:05:35,Bob,70
299,pass,2022/11/28 23:05:35,2022/11/28 23:11:34,Dino,70
298,Submit a paper,2022/11/17 23:04:51,2022/11/17 23:12:34,Sam,70
298,A Expert Review,2022/11/17 23:12:34,2022/11/17 23:19:59,Jack,50
298,B Expert Review,2022/11/17 23:12:34,2022/11/17 23:20:11,Amy,60
298,decide,2022/11/17 23:20:11,2022/11/17 23:24:57,Bob,70
298,B Expert Review,2022/11/17 23:24:57,2022/11/17 23:28:15,Amy,60
181,Submit a paper,2022/11/14 22:46:55,2022/11/14 22:54:46,Sam,70
181,A Expert Review,2022/11/14 22:54:46,2022/11/14 23:00:36,Jack,50
181,B Expert Review,2022/11/14 22:54:46,2022/11/14 23:03:57,Amy,60
181,decide,2022/11/14 23:03:57,2022/11/14 23:08:19,Bob,70
26,Submit a paper,2022/11/8 22:29:41,2022/11/8 22:37:22,Sam,70
26,A Expert Review,2022/11/8 22:37:22,2022/11/8 22:43:31,Jack,50
26,B Expert Review,2022/11/8 22:37:22,2022/11/8 22:43:40,Amy,60
26,decide,2022/11/8 22:43:40,2022/11/8 22:48:29,Bob,70
26,pass,2022/11/8 22:48:29,2022/11/8 22:54:15,Dino,70
180,Submit a paper,2022/11/14 22:33:28,2022/11/14 22:40:47,Sam,70
180,A Expert Review,2022/11/14 22:40:47,2022/11/14 22:47:29,Jack,50
180,B Expert Review,2022/11/14 22:40:47,2022/11/14 22:49:28,Amy,60
180,decide,2022/11/14 22:49:28,2022/11/14 22:54:41,Bob,70
184,Submit a paper,2022/11/14 23:25:45,2022/11/14 23:33:03,Sam,70
184,A Expert Review,2022/11/14 23:33:03,2022/11/14 23:38:45,Jack,50
184,B Expert Review,2022/11/14 23:33:03,2022/11/14 23:41:53,Amy,60
184,decide,2022/11/14 23:41:53,2022/11/14 23:45:24,Bob,70
184,pass,2022/11/14 23:45:24,2022/11/14 23:50:41,Dino,70
27,Submit a paper,2022/11/8 22:43:29,2022/11/8 22:50:57,Sam,70
27,A Expert Review,2022/11/8 22:50:57,2022/11/8 22:59:37,Jack,50
27,B Expert Review,2022/11/8 22:50:57,2022/11/8 22:58:14,Amy,60
27,decide,2022/11/8 22:59:37,2022/11/8 23:04:17,Bob,70
30,Submit a paper,2022/11/8 23:20:17,2022/11/8 23:27:08,Sam,70
30,A Expert Review,2022/11/8 23:27:08,2022/11/8 23:34:30,Jack,50
30,B Expert Review,2022/11/8 23:27:08,2022/11/8 23:32:57,Amy,60
30,decide,2022/11/8 23:34:30,2022/11/8 23:38:27,Bob,70
30,B Expert Review,2022/11/8 23:38:27,2022/11/8 23:44:18,Amy,60
288,Submit a paper,2022/11/17 21:00:22,2022/11/17 21:06:58,Sam,70
288,A Expert Review,2022/11/17 21:06:58,2022/11/17 21:13:08,Jack,50
288,B Expert Review,2022/11/17 21:06:58,2022/11/17 21:16:01,Amy,60
288,decide,2022/11/17 21:16:01,2022/11/17 21:19:18,Bob,70
288,pass,2022/11/17 21:19:18,2022/11/17 21:23:58,Dino,70
37,Submit a paper,2022/11/9 0:51:05,2022/11/9 0:56:56,Sam,70
37,A Expert Review,2022/11/9 0:56:56,2022/11/9 17:02:59,Jack,50
37,B Expert Review,2022/11/9 0:56:56,2022/11/9 17:04:28,Amy,60
37,decide,2022/11/9 17:04:28,2022/11/9 17:10:08,Bob,70
37,pass,2022/11/9 17:10:08,2022/11/9 17:14:07,Dino,70
38,Submit a paper,2022/11/9 17:00:00,2022/11/9 17:06:05,Sam,70
38,A Expert Review,2022/11/9 17:06:05,2022/11/9 17:11:45,Jack,50
38,B Expert Review,2022/11/9 17:06:05,2022/11/9 17:15:52,Amy,60
38,decide,2022/11/9 17:15:52,2022/11/9 17:21:13,Bob,70
38,pass,2022/11/9 17:21:13,2022/11/9 17:24:35,Dino,70
16,Submit a paper,2022/11/8 20:25:19,2022/11/8 20:32:52,Sam,70
16,A Expert Review,2022/11/8 20:32:52,2022/11/8 20:41:53,Jack,50
16,B Expert Review,2022/11/8 20:32:52,2022/11/8 20:42:07,Amy,60
16,decide,2022/11/8 20:42:07,2022/11/8 20:45:38,Bob,70
16,pass,2022/11/8 20:45:38,2022/11/8 20:49:32,Dino,70
289,Submit a paper,2022/11/17 21:14:52,2022/11/17 21:20:09,Sam,70
289,A Expert Review,2022/11/17 21:20:09,2022/11/17 21:25:35,Jack,50
289,B Expert Review,2022/11/17 21:20:09,2022/11/17 21:28:18,Amy,60
289,decide,2022/11/17 21:28:18,2022/11/17 21:33:49,Bob,70
